Job ID,Title,Company,Work Location,Work Style,About Job,Experience required,Skills required,HR Name,HR Link,Resume,Re-posted,Date Posted,Date Applied,Job Link,External Job link,Questions Found,Connect Request
NK_1781249879,Java Developer,Trantor,Pune,Remote,Applied via Naukri Bot Integration,4,Java Full Stack Developer,Unknown,Unknown,PAVAN_WAKADE_4+.pdf,No,2026-06-12,2026-06-12 13:07:59,https://www.naukri.com/job-listings-java-developer-trantor-noida-5-to-10-years-110626017798,Naukri Applied,None,No
NK_1781250016,Java Developer,Trantor,Pune,Remote,Applied via Naukri Bot Integration,4,Java Full Stack Developer,Unknown,Unknown,PAVAN_WAKADE_4+.pdf,No,2026-06-12,2026-06-12 13:10:16,https://www.naukri.com/job-listings-java-developer-trantor-noida-5-to-10-years-110626017798,Naukri Applied,None,No
NK_1781251836,Java Developer,Revolut,Pune,Remote,Applied via Naukri Bot Integration,4,Java Full Stack Developer,Unknown,Unknown,PAVAN_WAKADE_4+.pdf,No,2026-06-12,2026-06-12 13:40:36,https://www.naukri.com/job-listings-java-developer-hackajob-mumbai-all-areas-6-to-11-years-080626018150,Naukri Applied,None,No
NK_1781255594,React & Node.js Full Stack Developer,Start And Grow,Pune,On-style,Applied via Naukri Bot Integration,4,Java Full Stack Developer,Unknown,Unknown,PAVAN_WAKADE_4+.pdf,No,2026-06-12,2026-06-12 14:43:14,https://startandgrow.co/react-node-js-full-stack-developer/,Naukri Applied,None,No
NK_1781256929,Java Full Stack Developer,Vrinda International,Pune,On-style,Applied via Naukri Bot Integration,4,Java Full Stack Developer,Unknown,Unknown,PAVAN_WAKADE_4+.pdf,No,2026-06-12,2026-06-12 15:05:29,https://vrinda-international.zohorecruit.in/jobs/Careers/213322000002882039,Naukri Applied,None,No
NK_1781257443,FullStack Engineer,Rocketdevs,Pune,On-style,Applied via Naukri Bot Integration,4,Java Full Stack Developer,Unknown,Unknown,PAVAN_WAKADE_4+.pdf,No,2026-06-12,2026-06-12 15:14:03,https://hivemind.hr/application/219ffc5b-12aa-4556-984e-008945b3f15c,Naukri Applied,None,No
NK_1781257540,Software Engineer,What The Food,Pune,On-style,Applied via Naukri Bot Integration,4,Java Full Stack Developer,Unknown,Unknown,PAVAN_WAKADE_4+.pdf,No,2026-06-12,2026-06-12 15:15:40,https://whatthefood.in/join-us,Naukri Applied,None,No
NK_1781257847,,,Pune,On-style,Applied via Naukri Bot Integration,4,Java Full Stack Developer,Unknown,Unknown,PAVAN_WAKADE_4+.pdf,No,2026-06-12,2026-06-12 15:20:47,https://techbinge.org/public/career,Naukri Applied,None,No
NK_1781258958,Java Full Stack Developer,Java R&D,Pune,On-style,Applied via Naukri Bot Integration,4,Java Full Stack Developer,Unknown,Unknown,PAVAN_WAKADE_4+.pdf,No,2026-06-12,2026-06-12 15:39:18,https://www.naukri.com/job-listings-java-full-stack-developer-java-r-d-remote-8-to-18-years-050626025931,Naukri Applied,None,No
NK_1781259244,Senior Software Engineer (Java),Cayuse,Pune,On-style,Applied via Naukri Bot Integration,4,Java Full Stack Developer,Unknown,Unknown,PAVAN_WAKADE_4+.pdf,No,2026-06-12,2026-06-12 15:44:04,https://job-boards.greenhouse.io/cayuse/jobs/8497242002/confirmation,Naukri Applied,None,No
NK_1781259459,Senior Software Engineer,Saguna Consulting Services,Pune,On-style,Applied via Naukri Bot Integration,4,Java Full Stack Developer,Unknown,Unknown,PAVAN_WAKADE_4+.pdf,No,2026-06-12,2026-06-12 15:47:39,https://www.naukri.com/job-listings-senior-software-engineer-saguna-consulting-services-remote-8-to-20-years-100626011184,Naukri Applied,None,No
NK_1781259556,Java Developer,Java R&D,Pune,On-style,Applied via Naukri Bot Integration,4,Java Full Stack Developer,Unknown,Unknown,PAVAN_WAKADE_4+.pdf,No,2026-06-12,2026-06-12 15:49:16,https://www.naukri.com/job-listings-java-developer-java-r-d-remote-8-to-15-years-020626018491,Naukri Applied,None,No
NK_1781259598,Backend Java Developer,Accion Labs,Pune,On-style,Applied via Naukri Bot Integration,4,Java Full Stack Developer,Unknown,Unknown,PAVAN_WAKADE_4+.pdf,No,2026-06-12,2026-06-12 15:49:58,https://www.naukri.com/job-listings-backend-java-developer-accion-labs-remote-pune-bengaluru-5-to-13-years-120626004089,Naukri Applied,None,No
NK_1781259815,Backend Developer,4labs Technologies,Pune,On-style,Applied via Naukri Bot Integration,4,Java Full Stack Developer,Unknown,Unknown,PAVAN_WAKADE_4+.pdf,No,2026-06-12,2026-06-12 15:53:35,https://www.4labsinc.com/careers/backend-developer,Naukri Applied,None,No
NK_1781259891,Fullstack Engineer,Encora,Pune,On-style,Applied via Naukri Bot Integration,4,Java Full Stack Developer,Unknown,Unknown,PAVAN_WAKADE_4+.pdf,No,2026-06-12,2026-06-12 15:54:51,https://www.naukri.com/job-listings-fullstack-engineer-encora-remote-8-to-13-years-130526026845,Naukri Applied,None,No
NK_1781260084,Senior Backend Developer (RDBMS + Node.js) || Immediate Joiner,Profex Tech,Pune,On-style,Applied via Naukri Bot Integration,4,Java Full Stack Developer,Unknown,Unknown,PAVAN_WAKADE_4+.pdf,No,2026-06-12,2026-06-12 15:58:04,https://www.naukri.com/job-listings-senior-backend-developer-rdbms-node-js-immediate-joiner-profex-tech-remote-5-to-10-years-040626023656,Naukri Applied,None,No
NK_1781423510,Java Full Stack Developer(React js),IPS group,Pune,On-style,Applied via Naukri Bot Integration,4,Java Full Stack Developer,Unknown,Unknown,PAVAN_WAKADE_4+.pdf,No,2026-06-14,2026-06-14 13:21:50,https://www.naukri.com/job-listings-java-full-stack-developer-react-js-integrated-personnel-services-hyderabad-pune-chennai-5-to-10-years-050626026273,Naukri Applied,None,No
NK_1781423538,Java Full Stack Developer,Hexaware Technologies,Pune,On-style,Applied via Naukri Bot Integration,4,Java Full Stack Developer,Unknown,Unknown,PAVAN_WAKADE_4+.pdf,No,2026-06-14,2026-06-14 13:22:18,https://www.naukri.com/job-listings-java-full-stack-developer-hexaware-technologies-hyderabad-pune-chennai-5-to-10-years-090626032445,Naukri Applied,None,No
NK_1781423577,Software Engineer,"NTT DATA, Inc.",Pune,On-style,Applied via Naukri Bot Integration,4,Java Full Stack Developer,Unknown,Unknown,PAVAN_WAKADE_4+.pdf,No,2026-06-14,2026-06-14 13:22:57,https://www.naukri.com/job-listings-software-engineer-ntt-data-inc-pune-chennai-bengaluru-3-to-5-years-110626017364,Naukri Applied,None,No
NK_1781423634,Java Full Stack developer(React JS),Infosys,Pune,On-style,Applied via Naukri Bot Integration,4,Java Full Stack Developer,Unknown,Unknown,PAVAN_WAKADE_4+.pdf,No,2026-06-14,2026-06-14 13:23:54,https://www.naukri.com/job-listings-java-full-stack-developer-react-js-infosys-hyderabad-pune-bengaluru-5-to-9-years-220526031884,Naukri Applied,None,No
NK_1781423673,Java Full Stack developer(Angular JS) - Bengaluru,Infosys,Pune,On-style,Applied via Naukri Bot Integration,4,Java Full Stack Developer,Unknown,Unknown,PAVAN_WAKADE_4+.pdf,No,2026-06-14,2026-06-14 13:24:33,https://www.naukri.com/job-listings-java-full-stack-developer-angular-js-bengaluru-infosys-hyderabad-pune-bengaluru-5-to-9-years-210526015812,Naukri Applied,None,No
NK_1781423694,Java Full Stack developer - (Bengaluru),Infosys,Pune,On-style,Applied via Naukri Bot Integration,4,Java Full Stack Developer,Unknown,Unknown,PAVAN_WAKADE_4+.pdf,No,2026-06-14,2026-06-14 13:24:54,https://www.naukri.com/job-listings-java-full-stack-developer-bengaluru-infosys-hyderabad-chennai-bengaluru-2-to-5-years-060626005174,Naukri Applied,None,No
NK_1781423756,Java Full Stack Developer - Java + Angular,Epam Systems,Pune,On-style,Applied via Naukri Bot Integration,4,Java Full Stack Developer,Unknown,Unknown,PAVAN_WAKADE_4+.pdf,No,2026-06-14,2026-06-14 13:25:56,https://www.naukri.com/job-listings-java-full-stack-developer-java-angular-epam-systems-hyderabad-chennai-bengaluru-5-to-10-years-080626008737,Naukri Applied,None,No
NK_1781423798,Java Full Stack Developer,Crescendo Global,Pune,On-style,Applied via Naukri Bot Integration,4,Java Full Stack Developer,Unknown,Unknown,PAVAN_WAKADE_4+.pdf,No,2026-06-14,2026-06-14 13:26:38,https://www.naukri.com/job-listings-java-full-stack-developer-crescendo-global-leadership-hiring-india-gurugram-chennai-bengaluru-5-to-8-years-120626008559,Naukri Applied,None,No
NK_1781423857,Java Full Stack Developer- B,Infosys,Pune,On-style,Applied via Naukri Bot Integration,4,Java Full Stack Developer,Unknown,Unknown,PAVAN_WAKADE_4+.pdf,No,2026-06-14,2026-06-14 13:27:37,https://www.naukri.com/job-listings-java-full-stack-developer-b-infosys-hyderabad-chennai-bengaluru-3-to-8-years-010526021546,Naukri Applied,None,No
NK_1781424077,Java Full Stack Developer,Orcapod Consulting Services Private Limited,Pune,On-style,Applied via Naukri Bot Integration,4,Java Full Stack Developer,Unknown,Unknown,PAVAN_WAKADE_4+.pdf,No,2026-06-14,2026-06-14 13:31:17,https://www.naukri.com/job-listings-java-full-stack-developer-orcapod-consulting-services-noida-chennai-bengaluru-5-to-10-years-110626014732,Naukri Applied,None,No
NK_1781424167,Java Full Stack Developer,Peoplelogic Business Solutions,Pune,On-style,Applied via Naukri Bot Integration,4,Java Full Stack Developer,Unknown,Unknown,PAVAN_WAKADE_4+.pdf,No,2026-06-14,2026-06-14 13:32:47,https://www.naukri.com/job-listings-java-full-stack-developer-peoplelogic-business-solutions-hyderabad-pune-bengaluru-5-to-10-years-110626012198,Naukri Applied,None,No
NK_1781451884,Java Full Stack Developer-Blr(Raj),Infosys,Pune,On-style,Applied via Naukri Bot Integration,4,Java Full Stack Developer,Unknown,Unknown,PAVAN_WAKADE_4+.pdf,No,2026-06-14,2026-06-14 21:14:44,https://www.naukri.com/job-listings-java-full-stack-developer-blr-raj-infosys-hyderabad-chennai-bengaluru-5-to-10-years-050326012914,Naukri Applied,None,No
NK_1781451908,Java Full Stack Developer- B,Infosys,Pune,On-style,Applied via Naukri Bot Integration,4,Java Full Stack Developer,Unknown,Unknown,PAVAN_WAKADE_4+.pdf,No,2026-06-14,2026-06-14 21:15:08,https://www.naukri.com/job-listings-java-full-stack-developer-b-infosys-hyderabad-chennai-bengaluru-3-to-8-years-230426034548,Naukri Applied,None,No
NK_1781452497,Java Full Stack Developer,Cloudxtreme,Pune,On-style,Applied via Naukri Bot Integration,4,Java Full Stack Developer,Unknown,Unknown,PAVAN_WAKADE_4+.pdf,No,2026-06-14,2026-06-14 21:24:57,https://www.naukri.com/job-listings-java-full-stack-developer-cloudxtreme-hyderabad-coimbatore-bengaluru-4-to-8-years-280526010532,Naukri Applied,None,No
