timestamp,job_title,company,status,notes
2026-06-23 10:38:23,Java Full stack developer,Hinduja Tech,failed,"Apply button not found/clickable (selector may be stale, or job uses external apply)."
2026-06-23 10:39:25,Java Full Stack Developer,Stack Digital,failed,"Apply button not found/clickable (selector may be stale, or job uses external apply)."
2026-06-23 10:40:01,JAVA Full Stack Developer,Diverse Lynx,failed,"Apply button not found/clickable (selector may be stale, or job uses external apply)."
2026-06-23 10:40:21,Java Full Stack Developer (React),LTM,failed,"Apply button not found/clickable (selector may be stale, or job uses external apply)."
2026-06-23 10:40:41,Java Full Stack Developer (Angular),Infosys,needs_manual_review,Chatbot flow stalled or needs manual attention.
2026-06-23 10:42:06,Java Full Stack Developer,Buzzworks,needs_manual_review,Chatbot flow stalled or needs manual attention.
2026-06-23 10:47:32,Full Stack Developer,Calidig Solutions,failed,"Apply button not found/clickable (selector may be stale, or job uses external apply)."
2026-06-23 10:53:30,Full Stack Developer,Calidig Solutions,failed,"Apply button not found/clickable (selector may be stale, or job uses external apply)."
2026-06-23 10:57:15,Full Stack Developer,Calidig Solutions,failed,"Apply button not found/clickable (selector may be stale, or job uses external apply)."
2026-06-23 10:57:36,Backend Systems Developer,Cogenthub,needs_manual_review,Chatbot flow stalled or needs manual attention.
2026-06-23 10:57:45,Sap Hybris Developer,Bounteous x Accolite,needs_manual_review,Chatbot flow stalled or needs manual attention.
2026-06-23 10:59:28,Full Stack Developer,Calidig Solutions,failed,"Apply button not found/clickable (selector may be stale, or job uses external apply)."
2026-06-23 10:59:49,Backend Systems Developer,Cogenthub,needs_manual_review,Chatbot flow stalled or needs manual attention.
2026-06-23 10:59:58,Sap Hybris Developer,Bounteous x Accolite,needs_manual_review,Chatbot flow stalled or needs manual attention.
2026-06-23 11:00:07,CDGC Developer,Blue Rock Management India,needs_manual_review,Chatbot flow stalled or needs manual attention.
2026-06-23 11:02:00,Full Stack Developer,Calidig Solutions,failed,"Apply button not found/clickable (selector may be stale, or job uses external apply)."
2026-06-23 11:02:20,Backend Systems Developer,Cogenthub,needs_manual_review,Chatbot flow stalled or needs manual attention.
2026-06-23 11:02:39,Sap Hybris Developer,Bounteous x Accolite,needs_manual_review,Chatbot flow stalled or needs manual attention.
2026-06-23 11:02:57,CDGC Developer,Blue Rock Management India,needs_manual_review,Chatbot flow stalled or needs manual attention.
2026-06-23 11:04:06,Full Stack Developer,Calidig Solutions,failed,"Apply button not found/clickable (selector may be stale, or job uses external apply)."
2026-06-23 11:04:27,Backend Systems Developer,Cogenthub,failed,"Message: invalid session id: session deleted as the browser has closed the connection
from disconnected: not connected to DevTools
  (Session info: chrome=149.0.7827.115); For documentation on this er"
2026-06-23 11:06:48,Full Stack Developer,Calidig Solutions,failed,"Apply button not found/clickable (selector may be stale, or job uses external apply)."
2026-06-23 11:07:09,Backend Systems Developer,Cogenthub,needs_manual_review,Chatbot flow stalled or needs manual attention.
2026-06-23 11:07:18,Sap Hybris Developer,Bounteous x Accolite,needs_manual_review,Chatbot flow stalled or needs manual attention.
2026-06-23 11:15:31,Backend Systems Developer,Cogenthub,needs_manual_review,Chatbot flow stalled or needs manual attention.
2026-06-23 11:15:42,Sap Hybris Developer,Bounteous x Accolite,needs_manual_review,Chatbot flow stalled or needs manual attention.
2026-06-23 11:16:09,IT Infrastructure Engineer - TN,Finacplus,failed,"Apply button not found/clickable (selector may be stale, or job uses external apply)."
2026-06-23 11:16:29,Dotnet Developer (Windows & Web Applications),Enlightvision Technology,failed,"Apply button not found/clickable (selector may be stale, or job uses external apply)."
2026-06-23 11:16:49,Game Designer,Gauravgo,failed,"Apply button not found/clickable (selector may be stale, or job uses external apply)."
2026-06-23 11:17:09,Senior DevOps Engineer | Honeytech,Boosta,failed,"Apply button not found/clickable (selector may be stale, or job uses external apply)."
